path,bytes,status,purpose,deletion_advice
deepseek-v4-csa/simpler-operator/kernels/aiv/hc_pre_linear_reduce.cpp,9961,tracked,线性投影分片结果归约。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/hc_pre_linear_reduce.o,74480,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/hc_pre_rms.cpp,24105,tracked,输入RMS统计。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/hc_pre_rms.o,144144,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/idx_qr_proj_dequant.cpp,13528,tracked,Indexer投影反量化。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/idx_qr_proj_dequant.o,119040,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_and_cache_write.cpp,22790,tracked,Indexer KV数据处理与cache写入。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_and_cache_write.o,207176,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_proj_seed.cpp,5944,tracked,初始化KV投影累加缓冲。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_proj_seed.o,62864,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_rms_norm_rope.cpp,52135,tracked,KV归一化和RoPE。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_rms_norm_rope.o,272920,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_touch.cpp,4700,tracked,通过cache自拷贝表达真实缓存依赖；不是可删除dummy。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/kv_touch.o,60624,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/merge_norm.cpp,89652,tracked,合并稀疏块的attention输出和归一化统计。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/merge_norm.o,333376,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/mix_x.cpp,33338,tracked,按系数混合残差流作为attention输入。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/mix_x.o,171184,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/proj_b_act.cpp,20894,tracked,第二段输出投影结果处理。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/proj_b_act.o,158104,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/q_rope_prepare.cpp,58507,tracked,准备Q侧RoPE数据。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/q_rope_prepare.o,329416,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/qk_pv_aiv.cpp,97185,tracked,mixed稀疏attention的数据准备、softmax及向量协作。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/qk_pv_aiv.o,247240,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/qproj_dequant_rms_nope_rope.cpp,59075,tracked,Q反量化、归一化及NoPE/RoPE处理。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/qproj_dequant_rms_nope_rope.o,334968,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_hadamard_quant.cpp,18901,tracked,Hadamard结果量化。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_hadamard_quant.o,178016,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_proj_seed.cpp,5963,tracked,初始化QR投影累加缓冲。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_proj_seed.o,66072,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_rms_norm_quant.cpp,50839,tracked,QR结果RMS归一化及量化。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_rms_norm_quant.o,286432,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_rope.cpp,22353,tracked,Indexer查询RoPE。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_rope.o,168800,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_rope_swap_idx.cpp,10792,tracked,构造RoPE交换索引。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/qr_rope_swap_idx.o,129144,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/quant.cpp,18209,tracked,输出投影中间结果量化。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/quant.o,163312,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/rms_norm.cpp,31087,tracked,RMS归一化。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/rms_norm.o,201240,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/rmsnorm_rope.cpp,43614,tracked,Indexer压缩结果归一化及RoPE。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/rmsnorm_rope.o,291752,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/rmsnorm_rope_cache_write.cpp,50627,tracked,主压缩结果归一化、RoPE与cache写入。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/rmsnorm_rope_cache_write.o,341248,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/rope_cs.cpp,35567,tracked,输出阶段使用的RoPE cos/sin数据准备。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/rope_cs.o,227792,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/rope_interleave.cpp,24683,tracked,RoPE数据交错排布。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/rope_interleave.o,175144,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/rope_interleave_0.cpp,24617,tracked,RoPE数据交错排布；独立注册的专用分组/调用版本，后缀不代表可删除副本。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/rope_interleave_0.o,175144,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/scatter_softmax_pool.cpp,51995,tracked,压缩状态scatter、softmax池化；_0为Indexer内压缩分支，无后缀为主压缩分支。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/scatter_softmax_pool.o,224936,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/scatter_softmax_pool_0.cpp,55208,tracked,压缩状态scatter、softmax池化；独立注册的专用分组/调用版本，后缀不代表可删除副本；_0为Indexer内压缩分支，无后缀为主压缩分支。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/scatter_softmax_pool_0.o,224280,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/score_aiv.cpp,89568,tracked,mixed score的AIV搬运、反量化及归约部分。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/score_aiv.o,290288,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/split_pre_post.cpp,26342,tracked,拆分pre/post混合系数。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/split_pre_post.o,156824,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/topk.cpp,20981,tracked,从score选择Top-K位置。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/topk.o,176256,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/kernels/aiv/weights_proj_reduce.cpp,10946,tracked,头权重分片归约。,保留；kernel_config.py引用的生成核，变更分组应重新生成而非手动删文件。
deepseek-v4-csa/simpler-operator/kernels/aiv/weights_proj_reduce.o,80120,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/orchestration/attention_csa_test.cpp,60339,tracked,生成的AICPU编排：创建/提交任务、传递参数、连接依赖和中间张量。,保留；删除会使随包Simpler无法重建运行。
deepseek-v4-csa/simpler-operator/orchestration/attention_csa_test.so,1122232,local/ignored,本机编译得到的目标文件、编排动态库或设备二进制。,停跑后可清理；需完整源码和匹配工具链重建。
deepseek-v4-csa/simpler-operator/test_decode_csa.py,480,tracked,Simpler replay薄入口，导入兄弟Python目录并传入runtime_dir执行生成C++。,保留；当前Simpler命令入口。
deepseek-v4-csa-b/PROVENANCE.json,11104,tracked,源版本、采集身份、工具/验证信息及随包文件SHA-256清单。,保留；不是运行必需，但用于确认代码与采集配套。文件删改后必须同步清单。
deepseek-v4-csa-b/README.md,12458,tracked,方案B的参数、任务划分、长度敏感性、统计、验证和复现说明。,可合并到根README后删除；目前有链接，建议保留独立入口。
deepseek-v4-csa-b/analyze_capture.py,7416,tracked,读取配套deps、泳道、名称映射，输出资源占用、逻辑包络、DAG并发及时间分布。,仅运行模型时可删；保留可复现分析能力时应保留。
deepseek-v4-csa-b/chip_swimlane_records.json,309188,tracked,原始芯片采集：核类型、任务ID、开始/结束时间及调度记录；物理记录统计的依据。,保留；删除将失去该次实测证据，重新运行不保证相同耗时。
deepseek-v4-csa-b/concurrency_analysis.json,25175,tracked,该次采集的静态/实测并发分析；B还包含逐kernel时间统计。,可选删除；丢失机器可读分析且README引用需调整，建议保留。
deepseek-v4-csa-b/dependency_graph.svg,46237,tracked,合并算子后的近似对称依赖图，省略传递边，MIX每block计一个任务。,可重建，但用户指定交付，建议保留。
deepseek-v4-csa-b/dependency_graph_counts.json,18238,tracked,SVG节点计数、成员TaskId、原始记录数、合并前后依赖边；便于审计图示。,可选删除；SVG生成时可重建，不影响运行或打开SVG。
deepseek-v4-csa-b/deps.json,109143,tracked,逻辑任务、kernel ID、BlockDim、张量和wait依赖；依赖图及静态并发分析的依据。,保留；是约定交付物和SVG生成输入。
deepseek-v4-csa-b/deps_viewer.html,133309,tracked,可直接打开的逻辑依赖图网页。,技术上可从deps和名称映射重建；按当前交付要求保留。
deepseek-v4-csa-b/merged_swimlane.json,3548924,tracked,用于trace查看器的合并泳道展示数据，将采集整理为时间线事件。,可选删除；不影响算子执行，但失去现成时间线；需同步README/PROVENANCE并使用匹配工具重建。
deepseek-v4-csa-b/name_map.json,1472,tracked,callable/kernel ID到可读算子名称的映射。,保留；SVG及分析脚本直接读取，不能只删此文件。
deepseek-v4-csa-b/pypto-lib-operator/LICENSE,5262,tracked,该份源码/生成代码的上游许可证文本。,保留；随代码分发，不作为冗余文件清理。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/config.cpython-311.pyc,8874,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/decode_compressor_ratio4.cpython-311.pyc,38935,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/decode_csa.cpython-311.pyc,68294,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/decode_indexer.cpython-311.pyc,54076,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/decode_indexer_compressor.cpython-311.pyc,44906,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/decode_sparse_attn_csa.cpython-311.pyc,59498,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/hc_post.cpython-311.pyc,14456,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/hc_pre.cpython-311.pyc,33506,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/qkv_proj_rope.cpython-311.pyc,84304,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/rmsnorm.cpython-311.pyc,9467,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/rope_interleave.cpython-311.pyc,4067,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/run_benchmark.cpython-311.pyc,3307,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/__pycache__/utils.cpython-311.pyc,24543,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/config.py,10058,tracked,模型维度、batch及tiling常量；A/B配置不同，不可跨方案随意替换。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/decode_compressor_ratio4.py,29289,tracked,主ratio-4压缩器：投影、状态池化、归一化/RoPE及压缩cache更新。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/decode_csa.py,44484,tracked,CSA顶层计算图、输入/缓存测试数据构造与Golden参考；A/B均由此组装执行。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/decode_indexer.py,41443,tracked,Indexer的查询投影、Hadamard/量化、score归约与Top-K选取。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/decode_indexer_compressor.py,33792,tracked,Indexer内部压缩器及其状态/cache处理，区别于主attention压缩器。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/decode_sparse_attn_csa.py,45946,tracked,根据Top-K和滑窗构造稀疏访问计划，执行QK/PV、merge及输出投影。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/golden/__init__.py,2161,tracked,导出run、规格和比较器等Golden接口。,保留；两个运行入口共同依赖。
deepseek-v4-csa-b/pypto-lib-operator/golden/__pycache__/__init__.cpython-311.pyc,2010,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/golden/__pycache__/runner.cpython-311.pyc,97397,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/golden/__pycache__/spec.cpython-311.pyc,20390,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/golden/__pycache__/validation.cpython-311.pyc,54568,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/pypto-lib-operator/golden/runner.py,73599,tracked,编译/replay、设备执行、输入保存/读取及Golden比较流程。,保留；两个运行入口共同依赖。
deepseek-v4-csa-b/pypto-lib-operator/golden/spec.py,17247,tracked,TensorSpec、输入初始化和测试数据描述。,保留；两个运行入口共同依赖。
deepseek-v4-csa-b/pypto-lib-operator/golden/validation.py,39091,tracked,数值误差比较器和校验结果定义。,保留；两个运行入口共同依赖。
deepseek-v4-csa-b/pypto-lib-operator/hc_post.py,9910,tracked,Hyper-connection后处理，结合残差流与输出混合系数形成层输出。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/hc_pre.py,23225,tracked,Hyper-connection前处理：RMS/线性、系数拆分、Sinkhorn和输入混合。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/qkv_proj_rope.py,71837,tracked,Q/QR/KV投影、Split-K累加、量化/归一化与RoPE辅助算子。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/rmsnorm.py,6276,tracked,CSA使用的RMS归一化及相关辅助实现。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/rope_interleave.py,3193,tracked,RoPE交错排布的辅助算子。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/run_benchmark.py,2070,tracked,命令行入口，构建输入、选择PyPTO编译或runtime_dir replay并执行Golden校验。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/pypto-lib-operator/utils.py,19123,tracked,位置、seq_len、slot/page映射、缓存fixture及参考运算等共享辅助。,保留；当前Python导入/运行闭包组成部分，不能按默认图未执行直接删。
deepseek-v4-csa-b/simpler-operator/LICENSE,5262,tracked,该份源码/生成代码的上游许可证文本。,保留；随代码分发，不作为冗余文件清理。
deepseek-v4-csa-b/simpler-operator/__pycache__/kernel_config.cpython-311.pyc,16667,local/ignored,Python导入生成的字节码缓存。,可清理；后续导入自动重建。
deepseek-v4-csa-b/simpler-operator/cache/.binary_context.lock,0,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/binary_context.json,218,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_0_aiv_hc_pre_rms_a2a3.bin,1596,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_10_aiv_rms_norm_a2a3.bin,2600,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_11_aiv_q_rope_prepare_a2a3.bin,7036,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_12_aiv_qr_proj_seed_a2a3.bin,1064,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_13_aic_qr_proj_matmul_a2a3.bin,1064,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_14_aiv_qr_rms_norm_quant_a2a3.bin,3700,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_15_aic_qproj_matmul_a2a3.bin,1564,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_16_aiv_qproj_dequant_rms_nope_rope_a2a3.bin,4660,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_17_aiv_kv_proj_seed_a2a3.bin,688,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_18_aic_kv_proj_matmul_a2a3.bin,1060,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_19_aiv_kv_rms_norm_rope_a2a3.bin,3896,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_1_aic_hc_pre_linear_a2a3.bin,1164,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_20_aiv_csa_cache_writeback_a2a3.bin,644,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_21_aic_kv_score_proj_a2a3.bin,1696,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_22_aiv_scatter_softmax_pool_a2a3.bin,2640,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_23_aiv_rmsnorm_rope_cache_write_a2a3.bin,4296,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_24_aic_idx_qr_proj_matmul_a2a3.bin,1548,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_25_aiv_idx_qr_proj_dequant_a2a3.bin,2304,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_26_aiv_qr_rope_swap_idx_a2a3.bin,2200,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_27_aiv_qr_rope_a2a3.bin,3032,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_28_aic_qr_hadamard_matmul_a2a3.bin,500,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_29_aiv_qr_hadamard_quant_a2a3.bin,2492,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_2_aiv_hc_pre_linear_reduce_a2a3.bin,396,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_30_aic_weights_proj_a2a3.bin,1424,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_31_aiv_weights_proj_reduce_a2a3.bin,532,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_32_aic_kv_score_proj_0_a2a3.bin,1824,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
deepseek-v4-csa-b/simpler-operator/cache/incore_33_aiv_scatter_softmax_pool_0_a2a3.bin,2976,local/ignored,Simpler本地编译二进制缓存/缓存上下文/锁文件。,停跑后可清理；会触发重新编译；运行中不删除锁。
